,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Silverside,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sailfin Molly,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Sheepshead minnow,Striped Mullet,Striped Mullet,Striped Mullet,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp,Grass Shrimp
12:0,0.18,0.09,0.12,0.14,0.10,0.15,0.21,0.21,0.09,0.03,0.12,0.24,0.24,0.09,0.11,0.17,0.06,0.10,0.17,0.12,0.13,0.10,0.17,0.21,0.18,0.23,0.23,0.20,0.21,0.12,0.07,0.06,0.09,0.04,0.15,0.18,0.12,0.22,0.09,0.06,0.04,0.09,0.08,0.06,0.06,0.03,0.08,0.20,0.20,0.18,0.18,0.19,0.19,0.16,0.17,0.19,0.20,0.17,0.18,0.20,0.17
14:0,1.75,0.85,1.71,2.18,0.98,1.83,2.50,2.50,2.91,1.38,2.04,3.32,3.12,1.20,1.16,2.51,1.59,1.54,2.73,3.57,2.86,2.81,1.86,2.33,2.20,2.79,2.82,2.25,2.47,2.86,3.07,2.89,2.28,2.35,2.90,4.54,3.62,5.81,2.60,2.44,1.11,3.15,1.75,0.73,1.21,1.02,0.78,2.19,2.32,2.10,2.22,2.13,2.27,2.43,2.43,2.30,2.32,2.23,2.33,2.41,2.06
15:0,0.92,0.63,1.07,1.03,0.54,1.25,0.96,0.95,0.80,0.47,0.94,1.15,1.10,0.67,0.81,0.83,0.71,0.74,5.84,7.19,2.63,1.10,0.83,0.87,1.02,1.26,1.25,1.16,1.03,1.06,2.03,2.98,1.23,0.97,0.92,1.07,0.99,0.96,0.79,0.82,0.56,0.78,1.28,0.85,0.95,4.47,2.37,0.72,0.70,0.72,0.76,0.79,0.76,0.75,0.68,0.79,0.79,0.82,0.82,0.69,0.69
16:0,19.74,20.37,21.31,18.81,19.93,21.03,19.40,18.51,21.78,19.73,18.74,20.00,20.01,21.12,22.19,22.74,21.24,21.40,16.97,16.19,18.82,21.35,19.08,20.59,20.70,19.89,20.26,19.58,20.42,22.81,18.73,17.77,17.95,19.56,18.83,19.42,20.13,20.38,19.45,20.06,19.44,18.80,20.49,20.03,18.28,16.08,16.57,18.40,18.95,18.61,18.66,19.17,18.48,19.22,18.98,19.28,19.47,18.59,19.50,19.34,18.81
16:1n-7,4.47,3.05,4.61,6.07,3.05,5.20,7.13,6.93,7.79,4.30,6.15,8.61,7.17,3.89,2.94,3.85,3.54,8.66,11.76,15.65,12.86,14.29,7.81,8.71,8.18,7.52,8.03,7.87,8.17,12.88,10.97,10.32,8.39,8.12,7.50,13.84,9.45,14.17,5.74,7.63,2.98,6.90,5.46,1.96,4.00,3.55,2.97,8.60,9.69,9.38,9.86,9.60,9.94,9.97,10.59,10.88,11.35,10.10,11.01,10.10,8.68
16:2n-6,0.13,0.00,0.13,0.26,0.13,0.16,0.18,0.23,0.32,0.22,0.18,0.25,0.19,0.12,0.10,0.22,0.24,0.06,0.53,0.79,0.58,0.81,0.28,0.24,0.25,0.25,0.27,0.25,0.23,0.47,0.69,0.84,0.35,0.44,0.25,0.70,0.42,0.92,0.28,0.25,0.08,0.45,0.42,0.06,0.29,0.14,0.12,0.23,0.24,0.29,0.24,0.30,0.24,0.28,0.29,0.24,0.24,0.19,0.24,0.25,0.21
16:3n-6,0.13,0.00,0.24,0.24,0.00,0.22,1.39,1.53,0.54,0.26,0.19,0.24,0.21,0.20,0.13,0.20,0.32,0.21,0.73,0.92,0.76,0.81,0.12,1.65,1.62,0.29,0.23,0.28,0.28,0.48,0.77,1.12,0.38,0.51,0.31,0.57,0.43,0.70,0.48,0.35,0.19,0.49,0.18,0.07,1.41,4.53,3.07,0.13,0.13,1.63,1.81,1.62,1.69,0.17,0.17,0.12,0.14,0.11,0.14,0.16,0.13
16:4n-3,0.06,0.06,0.07,0.05,0.07,0.12,0.09,0.08,0.06,0.44,0.24,0.19,0.21,0.52,0.22,0.14,0.22,0.50,0.12,0.13,0.09,0.02,0.03,0.05,0.05,0.13,0.14,0.16,0.14,0.14,0.14,0.17,0.08,0.10,0.31,0.14,0.18,0.13,0.36,0.31,0.47,0.29,0.23,0.00,0.14,0.04,0.05,0.00,0.04,0.01,0.02,0.04,0.01,0.08,0.06,0.06,0.06,0.06,0.07,0.08,0.08
18:0,7.09,8.90,6.46,5.98,7.72,6.51,6.87,7.00,8.59,8.77,6.86,6.98,7.27,8.11,9.99,8.74,8.92,8.11,7.74,5.89,6.03,6.04,8.22,7.49,8.54,8.47,8.95,8.40,8.05,7.07,4.53,5.25,5.86,6.46,9.52,5.14,7.56,7.50,9.72,9.10,11.09,8.90,10.26,10.71,13.53,12.57,13.35,5.43,5.09,5.98,5.22,5.51,5.57,5.47,5.13,5.44,5.09,5.39,5.20,6.10,6.23
18:1n-9,11.62,11.30,10.50,10.58,8.67,12.22,12.97,12.45,9.27,9.48,12.37,13.33,13.32,11.32,7.70,5.41,6.40,12.22,7.94,7.40,10.30,8.46,14.40,15.36,14.56,13.07,16.48,14.11,15.68,10.69,14.83,9.67,14.74,10.14,8.21,12.31,10.66,9.17,8.60,9.32,8.03,9.09,7.54,8.49,8.14,4.93,5.06,17.35,17.51,18.05,18.01,16.25,17.54,17.91,19.07,17.66,18.71,18.27,18.73,17.10,17.42
